timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
202381793,0.9979119,0.010853211,-0.012714134,-0.062391177,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202386809,0.9979117,0.0108538335,-0.012713256,-0.06239219,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202391806,0.99791175,0.010856431,-0.0127128465,-0.062391542,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202396817,0.9979117,0.010851407,-0.012713644,-0.062393725,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202401813,0.9979115,0.010858354,-0.012716061,-0.062395416,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202431830,0.9979113,0.010848672,-0.01270796,-0.062401026,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202436842,0.99791133,0.0108525455,-0.012708,-0.062401272,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202441838,0.99791133,0.010857534,-0.012708754,-0.062397957,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202446834,0.99791145,0.010853522,-0.012707165,-0.06239919,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202451845,0.9979115,0.010851434,-0.012706789,-0.062398322,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202486855,0.99791104,0.010848575,-0.01271089,-0.062404096,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202491862,0.9979111,0.010852125,-0.012708904,-0.0624039,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202496872,0.99791086,0.010856174,-0.012710923,-0.06240696,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202501867,0.99791086,0.010854194,-0.012711702,-0.06240673,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202506867,0.99791086,0.010854486,-0.012710631,-0.062406268,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202536891,0.99791074,0.010841132,-0.012702987,-0.062413644,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202541888,0.9979107,0.0108343735,-0.012699557,-0.062415116,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202546894,0.99791074,0.010831623,-0.012695755,-0.06241598,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202551898,0.99791074,0.01083341,-0.012695231,-0.062415674,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202556897,0.99791086,0.010832451,-0.012699509,-0.062412743,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202561900,0.9979109,0.01083701,-0.012697858,-0.062412415,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202616933,0.9979104,0.010849104,-0.012686325,-0.06242124,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202621935,0.99791044,0.010852614,-0.012682863,-0.062419966,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202626939,0.9979104,0.010856871,-0.012682285,-0.06241957,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202631937,0.9979103,0.010861669,-0.012684077,-0.062419437,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202636955,0.9979101,0.010867343,-0.012682499,-0.06242252,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202671965,0.9979097,0.010850003,-0.012688444,-0.06243032,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202676968,0.9979097,0.010847652,-0.012691812,-0.06242948,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202681971,0.9979096,0.010843576,-0.012690855,-0.06243259,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202686984,0.9979096,0.010840253,-0.012689093,-0.062434036,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202691977,0.99790955,0.010849453,-0.012685159,-0.062433828,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202696990,0.9979095,0.010852681,-0.012682994,-0.062434617,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202711989,0.9979093,0.010849785,-0.012682565,-0.062438305,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
202716998,0.9979093,0.010852356,-0.01268075,-0.06243841,1.0,3.5145817e-09,-1.1724501e-09,0.00012391566,2
