timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
30234680,32767,32767,32767,32767,32767,32767
30284687,-7,32767,32767,1,-29,32767
30289697,32767,32767,32767,32767,32767,32767
30294700,0,32767,32767,32767,-16,32767
30299692,32767,32767,32767,32767,32767,32767
30304695,11,32767,32767,32767,-15,32767
30309706,32767,32767,32767,32767,32767,32767
30314713,32767,32767,32767,32767,-14,32767
30319702,-32,32767,32767,32767,32767,32767
30324707,32767,32767,32767,32767,-9,32767
30329706,-24,32767,32767,32767,32767,32767
30334708,32767,32767,32767,14,-4,32767
30339710,-15,32767,32767,32767,32767,32767
30379728,32767,32767,32767,32767,-14,32767
30384734,-31,32767,32767,32767,32767,32767
30389745,32767,32767,32767,-26,-8,32767
30394735,-23,32767,32767,32767,32767,32767
30399737,32767,32767,32767,32767,-4,32767
30404743,-15,32767,32767,32767,32767,32767
30409750,32767,32767,32767,32767,10,32767
30414744,-6,32767,32767,32767,32767,32767
30419746,32767,32767,32767,32767,10,32767
30424751,1,32767,32767,32767,32767,32767
30429751,32767,32767,32767,32767,11,32767
30434753,10,32767,32767,32767,32767,32767
30489789,1,32767,32767,32767,32767,32767
30494781,32767,32767,32767,32767,10,32767
30499802,10,32767,32767,32767,32767,32767
30504785,32767,32767,32767,32767,10,32767
30509795,32767,32767,32767,-26,32767,32767
30514789,-32,32767,32767,32767,12,32767
30519810,32767,32767,32767,32767,32767,32767
30529809,32767,32767,32767,32767,-34,32767
30534833,-15,32767,32767,32767,32767,32767
30539809,32767,32767,32767,32767,-28,32767
30544809,-8,32767,32767,32767,32767,32767
30549814,32767,32767,32767,32767,-16,32767
30584821,32767,32767,32767,32767,32767,32767
30589826,-25,32767,32767,32767,-4,32767
30594826,32767,32767,32767,32767,32767,32767
30599839,-15,32767,32767,32767,10,32767
30604830,32767,32767,32767,32767,32767,32767
30609832,-7,32767,32767,32767,32767,32767
30639856,32767,32767,32767,32767,32767,32767
30644850,-32,32767,32767,32767,-15,32767
30649853,32767,32767,32767,32767,32767,32767
30654865,-24,32767,32767,32767,-14,32767
30659869,32767,32767,32767,32767,32767,32767
30704877,32767,32767,32767,32767,11,32767
30709880,-31,32767,32767,32767,32767,32767
30714883,32767,32767,32767,32767,32767,32767
30719886,-24,32767,32767,32767,-34,32767
30724892,32767,32767,32767,32767,32767,32767
30729887,-14,32767,32767,-7,-28,32767
30734889,32767,32767,32767,32767,32767,32767
30744895,32767,32767,32767,32767,32767,32767
30749896,1,32767,32767,32767,-14,32767
30754898,32767,32767,32767,32767,32767,32767
30759904,10,32767,32767,32767,-15,32767
30799922,32767,32767,32767,32767,32767,32767
30804921,-7,32767,32767,32767,-34,32767
30809928,32767,32767,32767,32767,32767,32767
30814925,0,32767,32767,32767,-29,32767
30819944,32767,32767,32767,32767,32767,32767
30824932,10,32767,32767,32767,-16,32767
30829939,32767,32767,32767,-2,32767,32767
30834934,32767,32767,32767,32767,-15,32767
30839940,-32,32767,32767,32767,32767,32767
30844964,32767,32767,32767,32767,-14,32767
30849946,-24,32767,32767,32767,32767,32767
30854946,32767,32767,32767,32767,-9,32767
30884961,32767,32767,32767,32767,32767,32767
30889954,11,32767,32767,12,-34,32767
30894983,32767,32767,32767,32767,32767,32767
30899970,32767,32767,32767,32767,-28,32767
30904959,-32,32767,32767,32767,32767,32767
30909963,32767,32767,32767,32767,-14,32767
30914987,-24,32767,32767,32767,32767,32767
30930014,32767,32767,32767,32767,-4,32767
