timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2]
65243620,65243603,1114122,2.4765713,3.6753755,-6.467799,39.625,0,0,0,0
65349727,65349707,1114122,2.3114667,3.6466615,-6.23091,39.75,0,0,0,0
65849972,65849953,1114122,2.3545375,3.452843,-6.195018,39.625,0,0,0,0
65948175,65948158,1114122,2.4478574,3.5892339,-6.3170514,39.75,0,0,0,0
66047544,66047527,1114122,2.4119651,3.775874,-6.5467625,39.625,0,0,0,0
66547922,66547899,1114122,2.3832512,3.2733812,-6.2380886,39.75,0,0,0,0
66645373,66645354,1114122,2.4909282,3.6251261,-6.32423,39.75,0,0,0,0
66747899,66747882,1114122,2.5052853,3.4456644,-6.2237315,39.75,0,0,0,0
66848115,66848090,1114122,2.4622145,3.3236306,-6.1591253,39.625,0,0,0,0
67243201,67243185,1114122,2.2540388,3.5030923,-6.3457656,39.75,0,0,0,0
67746830,67746806,1114122,2.3401804,3.5533416,-6.6257257,39.75,0,0,0,0
67845926,67845909,1114122,2.4335005,3.5102706,-6.431907,39.75,0,0,0,0
67948496,67948479,1114122,2.4622145,3.4959137,-6.029913,39.875,0,0,0,0
68046080,68046064,1114122,2.318645,3.5964124,-6.259624,39.75,0,0,0,0
68143687,68143655,1114122,2.57707,3.546163,-6.41755,39.75,0,0,0,0
68248807,68248783,1114122,2.5555346,3.574877,-6.259624,39.875,0,0,0,0
68441922,68441903,1114122,2.656033,3.6610186,-6.3170514,39.875,0,0,0,0
68548766,68548750,1114122,2.3042881,3.6969109,-6.0083776,39.875,0,0,0,0
68846439,68846422,1114122,2.548356,3.330809,-6.04427,39.625,0,0,0,0
68946576,68946553,1114122,2.5698915,3.6969109,-6.446264,39.75,0,0,0,0
69046722,69046705,1114122,2.1894326,3.6179478,-6.2739806,39.75,0,0,0,0
69146575,69146558,1114122,2.5052853,3.4671998,-6.403193,39.75,0,0,0,0
69347024,69347007,1114122,2.5411775,3.8261232,-6.474978,39.875,0,0,0,0
69447839,69447823,1114122,2.117648,3.4600215,-6.13759,39.875,0,0,0,0
69545472,69545454,1114122,2.3042881,3.6897323,-6.1734824,39.875,0,0,0,0
69647384,69647368,1114122,2.4909282,3.775874,-6.23091,39.875,0,0,0,0
70047037,70047021,1114122,2.1966112,3.481557,-6.2093744,39.875,0,0,0,0
70447183,70447166,1114122,2.2612174,3.452843,-6.1016974,39.75,0,0,0,0
70549769,70549753,1114122,2.4693928,3.7040894,-6.3170514,39.875,0,0,0,0
70647323,70647307,1114122,2.2468605,3.6610186,-6.3170514,39.75,0,0,0,0
70848544,70848521,1114122,2.5339992,3.316452,-6.2811594,39.875,0,0,0,0
70946173,70946153,1114122,2.6632116,3.682554,-6.6185474,39.75,0,0,0,0
71245108,71245091,1114122,2.1607187,3.7974093,-6.3170514,39.75,0,0,0,0
71348348,71348325,1114122,2.376073,3.4887352,-6.3744793,39.875,0,0,0,0
71746272,71746253,1114122,2.2540388,3.4959137,-6.144768,39.875,0,0,0,0
71845456,71845439,1114122,2.734996,3.5030923,-6.2093744,40.0,0,0,0,0
71948070,71948038,1114122,2.3976083,3.7974093,-6.51087,40.0,0,0,0,0
72345756,72345733,1114122,2.5914268,3.330809,-6.539584,39.875,0,0,0,0
72448722,72448705,1114122,2.3904297,3.4959137,-6.632904,39.875,0,0,0,0
72548301,72548284,1114122,2.2755742,3.7399817,-6.23091,39.875,0,0,0,0
72846067,72846039,1114122,2.4909282,3.4743783,-6.2883377,39.875,0,0,0,0
72944355,72944329,1114122,2.519642,3.5389845,-6.4821563,39.875,0,0,0,0
73048519,73048503,1114122,2.4765713,3.574877,-6.51087,39.875,0,0,0,0
73146973,73146956,1114122,2.2540388,3.7543385,-6.3170514,40.0,0,0,0,0
73248581,73248557,1114122,2.426322,3.4887352,-6.740581,40.0,0,0,0,0
73446286,73446264,1114122,2.5052853,3.5964124,-6.51087,40.0,0,0,0,0
73548807,73548783,1114122,2.3401804,3.330809,-6.1663036,39.875,0,0,0,0
73648880,73648863,1114122,2.6057837,3.5964124,-6.259624,39.875,0,0,0,0
73848882,73848866,1114122,2.3114667,3.4313076,-6.5036917,40.125,0,0,0,0
73946503,73946480,1114122,2.57707,3.7686956,-6.410372,40.0,0,0,0,0
74046861,74046838,1114122,2.4693928,3.6466615,-6.597012,40.0,0,0,0,0
74149063,74149040,1114122,2.2827528,3.9553356,-6.431907,40.0,0,0,0,0
74246648,74246631,1114122,2.2827528,3.8835511,-6.3457656,39.875,0,0,0,0
74348171,74348155,1114122,2.333002,3.7112677,-6.5036917,39.875,0,0,0,0
74748222,74748205,1114122,2.1248264,3.7112677,-6.1591253,40.0,0,0,0,0
75049563,75049547,1114122,2.5124638,3.4456644,-6.187839,39.875,0,0,0,0
75144533,75144516,1114122,2.3401804,3.3667014,-6.295516,40.0,0,0,0,0
75648070,75648053,1114122,2.4909282,3.4959137,-6.460621,40.125,0,0,0,0
75744887,75744868,1114122,2.347359,3.4313076,-6.187839,40.0,0,0,0,0
76150061,76150045,1114122,2.376073,3.6610186,-6.41755,40.125,0,0,0,0
76347843,76347811,1114122,2.5698915,3.6323047,-6.108876,40.0,0,0,0,0
76450279,76450259,1114122,2.3976083,3.6466615,-6.338587,40.0,0,0,0,0
76645593,76645567,1114122,2.426322,3.6610186,-6.2739806,40.0,0,0,0,0
76747955,76747939,1114122,2.426322,3.531806,-6.460621,40.125,0,0,0,0
